area,country_code,location_id
Afghanistan,4,160
Albania,8,43
Algeria,12,139
American Samoa,16,298
Andorra,20,74
Angola,24,168
Antigua and Barbuda,28,105
Argentina,32,97
Armenia,51,33
Australia,36,71
Austria,40,75
Azerbaijan,31,34
Bahamas,44,106
Bahrain,48,140
Bangladesh,50,161
Barbados,52,107
Belarus,112,57
Belgium,56,76
Belize,84,108
Benin,204,200
Bermuda,60,305
Bhutan,64,162
Bolivia (Plurinational State of),68,121
Bosnia and Herzegovina,70,44
Botswana,72,193
Brazil,76,135
Brunei Darussalam,96,66
Bulgaria,100,45
Burkina Faso,854,201
Burundi,108,175
C̫te d'Ivoire,384,205
Cabo Verde,132,203
Cambodia,116,10
Cameroon,120,202
Canada,124,101
Central African Republic,140,169
Chad,148,204
Chile,152,98
China,156,6
"China, Taiwan Province of China",158,8
Colombia,170,125
Comoros,174,176
Congo,178,170
Costa Rica,188,126
Croatia,191,46
Cuba,192,109
Cyprus,196,77
Czechia,203,47
Dem. People's Republic of Korea,408,7
Democratic Republic of the Congo,180,171
Denmark,208,78
Djibouti,262,177
Dominica,212,110
Dominican Republic,214,111
Ecuador,218,122
Egypt,818,141
El Salvador,222,127
Equatorial Guinea,226,172
Eritrea,232,178
Estonia,233,58
Ethiopia,231,179
Fiji,242,22
Finland,246,79
France,250,80
Gabon,266,173
Gambia,270,206
Georgia,268,35
Germany,276,81
Ghana,288,207
Greece,300,82
Greenland,304,349
Grenada,308,112
Guam,316,351
Guatemala,320,128
Guinea,324,208
Guinea-Bissau,624,209
Guyana,328,113
Haiti,332,114
Honduras,340,129
Hungary,348,48
Iceland,352,83
India,356,163
Indonesia,360,11
Iran (Islamic Republic of),364,142
Iraq,368,143
Ireland,372,84
Israel,376,85
Italy,380,86
Jamaica,388,115
Japan,392,67
Jordan,400,144
Kazakhstan,398,36
Kenya,404,180
Kiribati,296,23
Kuwait,414,145
Kyrgyzstan,417,37
Lao People's Democratic Republic,418,12
Latvia,428,59
Lebanon,422,146
Lesotho,426,194
Liberia,430,210
Libya,434,147
Lithuania,440,60
Luxembourg,442,87
Madagascar,450,181
Malawi,454,182
Malaysia,458,13
Maldives,462,14
Mali,466,211
Malta,470,88
Marshall Islands,584,24
Mauritania,478,212
Mauritius,480,183
Mexico,484,130
Micronesia (Fed. States of),583,25
Mongolia,496,38
Montenegro,499,50
Morocco,504,148
Mozambique,508,184
Myanmar,104,15
Namibia,516,195
Nepal,524,164
Netherlands,528,89
New Zealand,554,72
Nicaragua,558,131
Niger,562,213
Nigeria,566,214
Northern Mariana Islands,580,376
Norway,578,90
Oman,512,150
Pakistan,586,165
Panama,591,132
Papua New Guinea,598,26
Paraguay,600,136
Peru,604,123
Philippines,608,16
Poland,616,51
Portugal,620,91
Puerto Rico,630,385
Qatar,634,151
Republic of Korea,410,68
Republic of Moldova,498,61
Romania,642,52
Russian Federation,643,62
Rwanda,646,185
Saint Lucia,662,116
Saint Vincent and the Grenadines,670,117
Samoa,882,27
Sao Tome and Principe,678,215
Saudi Arabia,682,152
Senegal,686,216
Serbia,688,53
Seychelles,690,186
Sierra Leone,694,217
Singapore,702,69
Slovakia,703,54
Slovenia,705,55
Solomon Islands,90,28
Somalia,706,187
South Africa,710,196
South Sudan,728,435
Spain,724,92
Sri Lanka,144,17
State of Palestine,275,149
Sudan,729,522
Suriname,740,118
Swaziland,748,197
Sweden,752,93
Switzerland,756,94
Syrian Arab Republic,760,153
Tajikistan,762,39
TFYR Macedonia,807,49
Thailand,764,18
Timor-Leste,626,19
Togo,768,218
Tonga,776,29
Trinidad and Tobago,780,119
Tunisia,788,154
Turkey,792,155
Turkmenistan,795,40
Uganda,800,190
Ukraine,804,63
United Arab Emirates,784,156
United Kingdom,826,95
United Republic of Tanzania,834,189
United States of America,840,102
United States Virgin Islands,850,422
Uruguay,858,99
Uzbekistan,860,41
Vanuatu,548,30
Venezuela (Bolivarian Republic of),862,133
Viet Nam,704,20
Yemen,887,157
Zambia,894,191
Zimbabwe,716,198