state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
US,Total,245502,224059,157596,64.2,0.3,70.3,0.3,137537,56,0.3,61.4,0.3
US,18 to 24,29320,26913,14905,50.8,0.9,55.4,0.9,11560,39.4,0.9,43,0.9
US,25 to 34,43794,38283,24682,56.4,0.7,64.5,0.8,20332,46.4,0.7,53.1,0.8
US,35 to 44,39905,34327,23948,60,0.8,69.8,0.8,20662,51.8,0.8,60.2,0.8
US,45 to 64,83799,77544,57394,68.5,0.5,74,0.5,51668,61.7,0.5,66.6,0.5
US,65+,48684,46993,36667,75.3,0.6,78,0.6,33314,68.4,0.6,70.9,0.6
ALABAMA,Total,3717,3651,2526,68,2.5,69.2,2.5,2095,56.4,2.7,57.4,2.7
ALABAMA,18 to 24,513,497,283,55.2,7.2,57,7.3,212,41.4,7.1,42.7,7.3
ALABAMA,25 to 34,583,568,393,67.5,6.3,69.2,6.3,310,53.1,6.8,54.5,6.8
ALABAMA,35 to 44,566,548,363,64.1,6.6,66.3,6.6,306,54,6.8,55.8,6.9
ALABAMA,45 to 64,1293,1280,881,68.1,4.2,68.8,4.2,761,58.8,4.5,59.4,4.5
ALABAMA,65+,761,758,606,79.5,4.8,79.9,4.8,507,66.5,5.6,66.9,5.6
ALASKA,Total,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8
ALASKA,18 to 24,65,65,32,NA,NA,NA,NA,26,NA,NA,NA,NA
ALASKA,25 to 34,113,109,71,62.6,5.9,64.8,6,58,51,6.1,52.7,6.2
ALASKA,35 to 44,83,79,58,NA,NA,NA,NA,48,NA,NA,NA,NA
ALASKA,45 to 64,180,174,138,77,4.1,79.6,4,122,67.9,4.5,70.2,4.5
ALASKA,65+,77,75,59,NA,NA,NA,NA,54,NA,NA,NA,NA
ARIZONA,Total,5196,4585,3145,60.5,2.2,68.6,2.3,2769,53.3,2.3,60.4,2.4
ARIZONA,18 to 24,735,654,346,47.1,6.1,52.8,6.5,263,35.8,5.9,40.2,6.3
ARIZONA,25 to 34,854,729,460,53.9,5.7,63.1,5.9,377,44.1,5.6,51.7,6.1
ARIZONA,35 to 44,776,663,423,54.5,5.9,63.7,6.2,349,45,5.9,52.6,6.4
ARIZONA,45 to 64,1736,1510,1143,65.9,3.8,75.7,3.7,1038,59.8,3.9,68.7,4
ARIZONA,65+,1096,1028,774,70.6,4.6,75.3,4.5,743,67.8,4.7,72.2,4.6
ARKANSAS,Total,2216,2116,1456,65.7,2.7,68.8,2.6,1241,56,2.8,58.7,2.8
ARKANSAS,18 to 24,187,180,92,49.1,9.6,51.2,9.8,62,33.1,9,34.5,9.3
ARKANSAS,25 to 34,409,367,224,54.8,6.5,61.1,6.7,173,42.3,6.4,47.1,6.8
ARKANSAS,35 to 44,387,362,244,63.1,6.4,67.5,6.5,211,54.5,6.6,58.3,6.8
ARKANSAS,45 to 64,716,697,503,70.2,4.5,72.2,4.5,452,63.1,4.7,64.8,4.8
ARKANSAS,65+,516,510,392,76,4.9,76.9,4.9,343,66.6,5.5,67.3,5.5
CALIFORNIA,Total,29894,24890,16096,53.8,1,64.7,1,14416,48.2,1,57.9,1
CALIFORNIA,18 to 24,3760,3308,1656,44,2.7,50.1,2.9,1411,37.5,2.6,42.7,2.8
CALIFORNIA,25 to 34,5742,4579,2795,48.7,2.2,61,2.4,2379,41.4,2.2,51.9,2.4
CALIFORNIA,35 to 44,5145,3797,2412,46.9,2.3,63.5,2.6,2074,40.3,2.3,54.6,2.7
CALIFORNIA,45 to 64,9835,8252,5581,56.8,1.7,67.6,1.7,5124,52.1,1.7,62.1,1.8
CALIFORNIA,65+,5412,4955,3651,67.5,2.1,73.7,2.1,3429,63.4,2.2,69.2,2.2
COLORADO,Total,4242,3895,2893,68.2,2.4,74.3,2.3,2707,63.8,2.5,69.5,2.5
COLORADO,18 to 24,410,361,210,51.2,8.2,58.2,8.6,177,43.1,8.1,49,8.8
COLORADO,25 to 34,922,851,596,64.7,5.2,70.1,5.2,535,58,5.4,62.9,5.5
COLORADO,35 to 44,774,683,535,69.1,5.5,78.2,5.2,514,66.5,5.6,75.3,5.5
COLORADO,45 to 64,1342,1243,914,68.1,4.2,73.6,4.2,867,64.6,4.3,69.7,4.3
COLORADO,65+,794,757,638,80.4,4.7,84.3,4.4,614,77.3,4.9,81.1,4.7
CONNECTICUT,Total,2759,2483,1763,63.9,2.6,71,2.6,1586,57.5,2.7,63.9,2.8
CONNECTICUT,18 to 24,263,225,123,46.6,8.9,54.6,9.6,97,37,8.6,43.3,9.5
CONNECTICUT,25 to 34,505,425,279,55.2,6.4,65.5,6.6,244,48.4,6.4,57.5,6.9
CONNECTICUT,35 to 44,397,347,236,59.5,7.1,68.1,7.2,208,52.5,7.2,60.1,7.6
CONNECTICUT,45 to 64,1034,943,700,67.7,4.2,74.3,4.1,636,61.5,4.4,67.4,4.4
CONNECTICUT,65+,560,544,425,75.9,5.2,78.2,5.1,400,71.4,5.5,73.6,5.5
DELAWARE,Total,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8
DELAWARE,18 to 24,82,69,44,NA,NA,NA,NA,29,NA,NA,NA,NA
DELAWARE,25 to 34,110,91,62,NA,NA,NA,NA,48,NA,NA,NA,NA
DELAWARE,35 to 44,115,102,77,66.4,6.5,75,6.3,62,54,6.8,61.1,7.1
DELAWARE,45 to 64,253,242,177,70.1,4.2,73.2,4.2,162,64.1,4.5,66.8,4.5
DELAWARE,65+,169,164,127,75.3,4.9,77.2,4.8,116,68.7,5.3,70.5,5.2
DISTRICT OF COLUMBIA,Total,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5
DISTRICT OF COLUMBIA,18 to 24,59,55,40,NA,NA,NA,NA,34,NA,NA,NA,NA
DISTRICT OF COLUMBIA,25 to 34,179,164,130,72.9,4.3,79.6,4.1,120,67.1,4.6,73.3,4.5
DISTRICT OF COLUMBIA,35 to 44,91,80,70,NA,NA,NA,NA,64,NA,NA,NA,NA
DISTRICT OF COLUMBIA,45 to 64,139,131,110,79.5,4.5,84.2,4.2,99,71.4,5,75.7,4.9
DISTRICT OF COLUMBIA,65+,86,82,70,NA,NA,NA,NA,63,NA,NA,NA,NA
FLORIDA,Total,16202,14428,9604,59.3,1.3,66.6,1.3,8578,52.9,1.3,59.5,1.3
FLORIDA,18 to 24,1589,1413,728,45.8,4.1,51.5,4.3,527,33.1,3.8,37.3,4.2
FLORIDA,25 to 34,2582,2245,1357,52.5,3.2,60.5,3.4,1157,44.8,3.2,51.6,3.4
FLORIDA,35 to 44,2505,1985,1315,52.5,3.2,66.3,3.5,1144,45.7,3.2,57.6,3.6
FLORIDA,45 to 64,5661,5091,3446,60.9,2.1,67.7,2.1,3171,56,2.1,62.3,2.2
FLORIDA,65+,3865,3694,2758,71.4,2.4,74.7,2.3,2578,66.7,2.5,69.8,2.5
GEORGIA,Total,7626,7048,4892,64.1,1.8,69.4,1.8,4246,55.7,1.9,60.2,1.9
GEORGIA,18 to 24,991,923,511,51.6,5.3,55.4,5.4,401,40.5,5.2,43.5,5.4
GEORGIA,25 to 34,1316,1119,712,54.1,4.5,63.6,4.8,609,46.3,4.6,54.4,4.9
GEORGIA,35 to 44,1352,1211,790,58.4,4.4,65.3,4.5,672,49.7,4.5,55.5,4.7
GEORGIA,45 to 64,2599,2456,1801,69.3,3,73.3,3,1593,61.3,3.2,64.9,3.2
GEORGIA,65+,1368,1340,1078,78.8,3.7,80.4,3.6,971,71,4.1,72.4,4
HAWAII,Total,1064,974,530,49.8,2.7,54.4,2.8,460,43.3,2.7,47.3,2.8
HAWAII,18 to 24,115,108,38,33.4,7.8,35.6,8.2,23,20.4,6.6,21.7,7
HAWAII,25 to 34,198,178,76,38.5,6.1,42.8,6.6,61,30.8,5.8,34.3,6.3
HAWAII,35 to 44,161,148,79,49.3,7,53.6,7.2,69,42.8,6.9,46.6,7.2
HAWAII,45 to 64,366,333,200,54.6,4.6,60.1,4.7,182,49.7,4.6,54.6,4.8
HAWAII,65+,224,207,136,60.8,5.8,65.7,5.8,125,55.8,5.9,60.3,6
IDAHO,Total,1224,1150,790,64.5,2.7,68.7,2.7,714,58.3,2.7,62.1,2.8
IDAHO,18 to 24,166,153,79,47.4,7.5,51.7,7.9,68,40.7,7.4,44.3,7.8
IDAHO,25 to 34,217,198,116,53.5,6.6,58.8,6.8,102,46.8,6.6,51.4,6.9
IDAHO,35 to 44,187,172,109,58.3,7,63.6,7.1,96,51.1,7.1,55.7,7.4
IDAHO,45 to 64,381,357,265,69.5,4.6,74.1,4.5,247,64.8,4.8,69.1,4.8
IDAHO,65+,272,270,220,80.9,4.6,81.5,4.6,202,74.1,5.2,74.7,5.1
ILLINOIS,Total,9723,8970,6665,68.5,1.6,74.3,1.5,5719,58.8,1.7,63.8,1.7
ILLINOIS,18 to 24,1330,1287,802,60.3,4.4,62.3,4.5,603,45.3,4.5,46.8,4.6
ILLINOIS,25 to 34,1664,1460,975,58.6,4,66.8,4.1,795,47.8,4.1,54.5,4.3
ILLINOIS,35 to 44,1527,1331,996,65.3,4,74.8,3.9,811,53.1,4.2,60.9,4.4
ILLINOIS,45 to 64,3456,3202,2539,73.5,2.5,79.3,2.4,2272,65.8,2.7,71,2.7
ILLINOIS,65+,1746,1690,1352,77.4,3.3,80,3.2,1237,70.9,3.6,73.2,3.6
INDIANA,Total,4988,4795,3298,66.1,2.2,68.8,2.2,2795,56,2.3,58.3,2.3
INDIANA,18 to 24,618,587,338,54.7,6.6,57.6,6.7,252,40.8,6.5,43,6.7
INDIANA,25 to 34,917,881,550,60,5.3,62.5,5.4,442,48.2,5.4,50.2,5.5
INDIANA,35 to 44,758,713,492,65,5.7,69,5.7,426,56.2,5.9,59.7,6
INDIANA,45 to 64,1742,1682,1192,68.4,3.7,70.9,3.6,1043,59.9,3.9,62,3.9
INDIANA,65+,953,933,725,76.1,4.5,77.8,4.5,632,66.3,5,67.7,5
IOWA,Total,2394,2292,1657,69.2,2.6,72.3,2.5,1454,60.7,2.7,63.4,2.7
IOWA,18 to 24,295,278,142,48.3,7.9,51.2,8.1,105,35.5,7.6,37.6,7.9
IOWA,25 to 34,450,405,305,67.8,6,75.2,5.8,241,53.6,6.4,59.5,6.6
IOWA,35 to 44,343,325,228,66.4,6.9,70.1,6.9,196,57.1,7.3,60.2,7.4
IOWA,45 to 64,768,754,545,71,4.5,72.3,4.4,499,65,4.7,66.2,4.7
IOWA,65+,538,529,436,81.2,4.6,82.4,4.5,413,76.8,4.9,78,4.9
KANSAS,Total,2142,2029,1438,67.1,2.8,70.9,2.8,1243,58,3,61.3,3
KANSAS,18 to 24,269,254,126,46.7,8.4,49.5,8.7,91,33.8,8,35.8,8.3
KANSAS,25 to 34,402,362,219,54.5,6.9,60.5,7.1,184,45.9,6.9,50.8,7.3
KANSAS,35 to 44,328,314,240,73.2,6.8,76.4,6.6,210,63.9,7.3,66.7,7.4
KANSAS,45 to 64,719,682,502,69.9,4.7,73.7,4.7,445,61.8,5,65.2,5.1
KANSAS,65+,424,417,350,82.6,5.1,84.1,5,314,73.9,5.9,75.2,5.9
KENTUCKY,Total,3348,3246,2253,67.3,2.7,69.4,2.7,1850,55.3,2.8,57,2.9
KENTUCKY,18 to 24,406,384,249,61.5,8,64.9,8.1,207,51.1,8.2,53.9,8.4
KENTUCKY,25 to 34,530,496,336,63.3,6.9,67.7,7,273,51.5,7.2,55.1,7.4
KENTUCKY,35 to 44,553,529,360,65.1,6.7,68.1,6.7,300,54.2,7,56.7,7.1
KENTUCKY,45 to 64,1244,1229,853,68.6,4.4,69.4,4.4,703,56.6,4.7,57.2,4.7
KENTUCKY,65+,615,609,455,73.9,5.9,74.7,5.8,366,59.5,6.6,60.2,6.6
LOUISIANA,Total,3463,3353,2446,70.6,2.5,73,2.4,2067,59.7,2.6,61.6,2.7
LOUISIANA,18 to 24,458,453,283,61.7,7.2,62.5,7.2,225,49.2,7.4,49.8,7.4
LOUISIANA,25 to 34,628,602,425,67.6,5.9,70.5,5.9,318,50.7,6.3,52.8,6.4
LOUISIANA,35 to 44,536,510,348,64.9,6.5,68.2,6.5,308,57.4,6.8,60.4,6.9
LOUISIANA,45 to 64,1233,1197,913,74.1,4,76.3,3.9,801,64.9,4.3,66.9,4.3
LOUISIANA,65+,608,592,478,78.5,5.3,80.7,5.1,415,68.3,6,70.2,6
MAINE,Total,1058,1038,830,78.5,2.5,80,2.5,754,71.3,2.8,72.7,2.8
MAINE,18 to 24,101,100,63,61.7,9.6,62.4,9.6,49,48.8,9.9,49.4,10
MAINE,25 to 34,157,154,109,69.2,7.3,70.8,7.3,95,60.4,7.8,61.8,7.8
MAINE,35 to 44,146,139,107,73.3,7.3,76.9,7.1,97,66.4,7.8,69.6,7.8
MAINE,45 to 64,421,418,354,83.9,3.6,84.6,3.5,327,77.5,4.1,78.2,4
MAINE,65+,232,227,198,85.4,4.6,87.3,4.4,186,80.3,5.2,82,5.1
MARYLAND,Total,4623,4158,3114,67.3,2.3,74.9,2.3,2737,59.2,2.4,65.8,2.5
MARYLAND,18 to 24,468,414,279,59.7,7.6,67.4,7.7,225,48,7.8,54.3,8.2
MARYLAND,25 to 34,819,711,505,61.7,5.7,71.1,5.7,424,51.8,5.9,59.7,6.2
MARYLAND,35 to 44,833,668,490,58.8,5.7,73.3,5.7,424,50.9,5.8,63.6,6.2
MARYLAND,45 to 64,1702,1586,1243,73,3.6,78.4,3.5,1133,66.6,3.8,71.4,3.8
MARYLAND,65+,801,778,596,74.4,5.2,76.6,5.1,530,66.2,5.6,68.1,5.6
MASSACHUSETTS,Total,5374,4967,3660,68.1,2.1,73.7,2,3315,61.7,2.2,66.7,2.2
MASSACHUSETTS,18 to 24,596,555,298,50,6.7,53.6,6.9,238,39.9,6.6,42.8,6.9
MASSACHUSETTS,25 to 34,1035,919,615,59.5,5,67,5.1,555,53.6,5.1,60.4,5.3
MASSACHUSETTS,35 to 44,811,696,506,62.4,5.6,72.6,5.5,475,58.6,5.7,68.3,5.8
MASSACHUSETTS,45 to 64,1850,1743,1383,74.8,3.3,79.3,3.2,1263,68.3,3.5,72.5,3.5
MASSACHUSETTS,65+,1082,1054,858,79.3,4,81.4,3.9,784,72.4,4.4,74.3,4.4
MICHIGAN,Total,7624,7332,5434,71.3,1.7,74.1,1.7,4713,61.8,1.8,64.3,1.8
MICHIGAN,18 to 24,853,813,453,53.1,5.6,55.7,5.7,308,36.1,5.4,37.8,5.6
MICHIGAN,25 to 34,1397,1305,911,65.2,4.2,69.8,4.2,706,50.6,4.4,54.1,4.6
MICHIGAN,35 to 44,1047,1012,750,71.7,4.6,74.1,4.5,650,62.1,4.9,64.2,5
MICHIGAN,45 to 64,2848,2740,2158,75.8,2.6,78.7,2.6,1962,68.9,2.9,71.6,2.8
MICHIGAN,65+,1480,1462,1162,78.5,3.5,79.5,3.5,1088,73.5,3.8,74.4,3.8
MINNESOTA,Total,4190,3985,3055,72.9,2.3,76.7,2.2,2738,65.3,2.4,68.7,2.4
MINNESOTA,18 to 24,524,476,297,56.7,7.2,62.4,7.4,260,49.6,7.2,54.7,7.6
MINNESOTA,25 to 34,708,674,491,69.3,5.7,72.8,5.7,435,61.4,6.1,64.5,6.1
MINNESOTA,35 to 44,684,625,476,69.7,5.8,76.2,5.6,438,64.1,6.1,70.1,6.1
MINNESOTA,45 to 64,1503,1441,1158,77.1,3.6,80.3,3.5,1047,69.7,3.9,72.6,3.9
MINNESOTA,65+,772,769,633,82,4.6,82.3,4.6,558,72.3,5.3,72.6,5.3
MISSISSIPPI,Total,2203,2170,1725,78.3,2.3,79.5,2.2,1470,66.7,2.6,67.7,2.6
MISSISSIPPI,18 to 24,283,279,170,60,7.5,60.9,7.6,130,46.1,7.7,46.7,7.7
MISSISSIPPI,25 to 34,356,345,262,73.7,6.1,76.1,6,203,57,6.8,58.9,6.9
